date,gpu_name,flipkart_price,flipkart_rating,flipkart_reviews,amazon_price,amazon_rating,amazon_reviews,aliexpress_price,aliexpress_rating,aliexpress_reviews,price_diff_amazon,price_diff_aliexpress,average_rating,discount_flag,units_sold,revenue
2025-04-04,NVIDIA RTX 3060,36796,4.6,601,50944,4.5,641,81067,4.1,690,-14148,-44271,4.3999999999999995,1,120,4415520
2025-04-04,NVIDIA RTX 3070,52399,4.6,1485,49915,4.5,1988,79882,3.8,481,2484,-27483,4.3,0,8,419192
2025-04-04,NVIDIA RTX 3080,38232,4.1,161,86323,4.4,570,41229,4.2,1129,-48091,-2997,4.233333333333333,1,271,10360872
2025-04-04,AMD RX 6600,36071,3.8,1332,74729,3.7,133,40140,4.4,535,-38658,-4069,3.966666666666667,1,205,7394555
2025-04-04,AMD RX 6700 XT,30075,3.8,1430,52804,4.8,1132,47977,3.6,474,-22729,-17902,4.066666666666666,1,131,3939825
2025-04-04,NVIDIA RTX 4060,78792,4.2,669,78248,4.4,463,49274,5.0,1885,544,29518,4.533333333333334,0,12,945504
2025-04-04,AMD RX 7900 XTX,24158,4.5,796,89409,4.4,1897,79191,4.4,1378,-65251,-55033,4.433333333333334,1,358,8648564
2025-04-03,NVIDIA RTX 3060,59694,3.8,1663,95778,4.6,290,41525,3.7,700,-36084,18169,4.033333333333332,0,226,13490844
2025-04-03,NVIDIA RTX 3070,66955,3.6,298,90609,3.7,1335,36327,3.7,231,-23654,30628,3.6666666666666665,0,158,10578890
2025-04-03,NVIDIA RTX 3080,71869,4.4,1752,27715,4.5,1169,67089,4.4,1078,44154,4780,4.433333333333334,0,1,71869
2025-04-03,AMD RX 6600,33672,4.2,355,80173,4.8,1528,91106,4.6,119,-46501,-57434,4.533333333333333,1,253,8519016
2025-04-03,AMD RX 6700 XT,72260,4.3,1798,94958,3.8,1743,32181,4.6,114,-22698,40079,4.233333333333333,0,145,10477700
2025-04-03,NVIDIA RTX 4060,74129,3.8,242,88315,4.0,1747,28279,3.8,1721,-14186,45850,3.8666666666666667,0,105,7783545
2025-04-03,AMD RX 7900 XTX,33423,3.8,692,38292,3.7,1077,26028,4.4,1659,-4869,7395,3.966666666666667,0,70,2339610
2025-04-02,NVIDIA RTX 3060,34365,4.8,878,53161,3.9,1895,60823,4.2,790,-18796,-26458,4.3,1,108,3711420
2025-04-02,NVIDIA RTX 3070,62148,4.5,847,77673,3.8,1552,81046,4.1,1923,-15525,-18898,4.133333333333334,1,130,8079240
2025-04-02,NVIDIA RTX 3080,46351,4.0,1472,27666,4.3,1164,69549,4.7,839,18685,-23198,4.333333333333333,0,1,46351
2025-04-02,AMD RX 6600,62742,4.9,1427,26014,4.5,1508,77328,4.4,829,36728,-14586,4.6000000000000005,0,1,62742
2025-04-02,AMD RX 6700 XT,36348,4.5,1193,66754,4.0,416,66107,3.5,1882,-30406,-29759,4.0,1,189,6869772
2025-04-02,NVIDIA RTX 4060,55425,4.2,652,83183,4.4,635,80606,4.8,1994,-27758,-25181,4.466666666666668,1,161,8923425
2025-04-02,AMD RX 7900 XTX,56393,4.0,1673,82142,4.0,664,40411,4.4,1879,-25749,15982,4.133333333333334,0,159,8966487
2025-04-01,NVIDIA RTX 3060,31207,4.7,1748,75763,4.1,1705,93839,4.9,1638,-44556,-62632,4.566666666666667,1,274,8550718
2025-04-01,NVIDIA RTX 3070,66633,3.9,532,86702,4.1,1236,57594,4.2,1505,-20069,9039,4.066666666666666,0,113,7529529
2025-04-01,NVIDIA RTX 3080,64986,4.5,910,87485,5.0,1283,88503,4.1,484,-22499,-23517,4.533333333333333,1,142,9228012
2025-04-01,AMD RX 6600,83312,3.9,605,72914,4.1,382,27637,4.9,1764,10398,55675,4.3,0,1,83312
2025-04-01,AMD RX 6700 XT,61226,4.1,1295,39490,4.2,1532,64365,4.5,1888,21736,-3139,4.266666666666667,0,1,61226
2025-04-01,NVIDIA RTX 4060,77315,3.8,383,44027,3.8,920,30663,4.5,578,33288,46652,4.033333333333333,0,1,77315
2025-04-01,AMD RX 7900 XTX,92826,3.6,196,70869,4.4,1501,88787,4.6,1726,21957,4039,4.2,0,1,92826
2025-03-31,NVIDIA RTX 3060,37623,4.4,1722,30138,4.1,1402,35518,4.1,1075,7485,2105,4.2,0,6,225738
2025-03-31,NVIDIA RTX 3070,82218,3.6,881,23439,4.7,1065,38318,3.9,499,58779,43900,4.066666666666667,0,1,82218
2025-03-31,NVIDIA RTX 3080,87682,3.9,1233,79787,3.6,554,45024,4.8,1707,7895,42658,4.1000000000000005,0,1,87682
2025-03-31,AMD RX 6600,29076,4.6,1496,71261,4.4,1583,88403,3.7,1731,-42185,-59327,4.233333333333333,1,254,7385304
